,Property Address,Property Name,PropertyType,Star Rating,Energy Star,LEED Certified,Building Class,Building Status,RBA,Total Available Space (SF),Rent/SF/Yr,Secondary Type,Market Name,Submarket Name,Leasing Company Name,Leasing Company Contact,Submarket Cluster,City,State,Zip,County Name,Sale Company Name,Sale Company Contact,For Sale Price,For Sale Status,Last Sale Date,Last Sale Price,Percent Leased,Year Built,Year Renovated,Typical Floor Size,Parking Ratio,Tenancy,FEMA Map Date,FEMA Map Identifier,FIRM ID,FIRM Panel Number,In SFHA,Floodplain Area,Latitude,Longitude,Company Name,Regional or National,marker-color
362,325 E Medina Rd,,Industrial,2.0,,,C,Existing,3690.0,,$9.75 - 11.92 (Est.),Truck Terminal,"Tucson, AZ",SW Tucson/Airport,,,South,Tucson,AZ,85756-6743,Pima,,,,N,2001-11-09 00:00:00,315000.0,100.0,1970.0,,3505.0,4.28,Multi,06/16/2011,04019C2289L,04019C,2289L,No,100-year and 500-year Floodplain,32.130688,-110.964416,Old Dominion Freight Line,National,black
363,615 Miami Ave,,Industrial,2.0,,,C,Existing,27564.0,,$6.69 - 8.17 (Est.),Truck Terminal,"Kansas City, MO",Armourdale,,,Wyandotte County,Kansas City,KS,66105-2111,Wyandotte,"Crown Enterprises, LLC",Lily Moore,,Y,2008-01-09 00:00:00,2525000.0,100.0,1963.0,,27564.0,2.0,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,39.081869,-94.623294,Old Dominion Freight Line,National,black
364,6726 Millett Hwy,,Industrial,2.0,,,C,Existing,10225.0,,$5.97 - 7.29 (Est.),Truck Terminal,"Lansing, MI",Southern Lansing,,,Lansing,Lansing,MI,48917,Eaton,,,,N,,,100.0,,,10225.0,3.51,Single,08/16/2011,26065C0110D,26045C,0110D,No,100-year and 500-year Floodplain,42.698105,-84.64808,Old Dominion Freight Line,National,black
365,12100 Montague St,,Industrial,2.0,,,C,Existing,11067.0,,$14.64 - 17.90 (Est.),Truck Terminal,"Los Angeles, CA",East San Ferndo Vlly,,,San Fernando Valley,Sun Valley,CA,91352,Los Angeles,,,,N,2022-11-23 00:00:00,31000000.0,100.0,1977.0,,11067.0,4.52,Single,09/26/2008,06037C1069F,06037C,1069F,No,100-year and 500-year Floodplain,34.257377,-118.396207,Old Dominion Freight Line,National,black
366,12100 Montague St,,Industrial,2.0,,,C,Existing,11067.0,,$14.64 - 17.90 (Est.),Truck Terminal,"Los Angeles, CA",East San Ferndo Vlly,"Usf Bestway, Inc.",,San Fernando Valley,Pacoima,CA,91331,Los Angeles,,,,N,2003-04-28 00:00:00,3875000.0,100.0,1977.0,,11067.0,,Single,09/26/2008,06037C1069F,06037C,1069F,No,100-year and 500-year Floodplain,34.2573264,-118.39622,Old Dominion Freight Line,National,black
367,3915 W Morris St,Old Dominion Freight Line,Industrial,3.0,,,B,Existing,126962.0,,$8.16 - 9.98 (Est.),Truck Terminal,"Indianapolis, IN",Stout Field,,,Southwest County,Indianapolis,IN,46241-2619,Marion,,,,N,,,100.0,1972.0,,126962.0,1.58,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,39.7476006,-86.2283071,Old Dominion Freight Line,National,black
368,4209 W Morris St,,Industrial,2.0,,,C,Existing,15000.0,,$8.23 - 10.06 (Est.),Truck Terminal,"Indianapolis, IN",Stout Field,,,Southwest County,Indianapolis,IN,46241-2501,Marion,,,,N,2011-05-19 00:00:00,3950000.0,100.0,1955.0,,15000.0,8.33,Single,01/01/1900,,,,No,100-year and 500-year Floodplain,39.747744,-86.230677,Old Dominion Freight Line,National,black
369,1120 E Northfield Dr,,Industrial,2.0,,,C,Existing,25800.0,,$8.38 - 10.25 (Est.),Truck Terminal,"Indianapolis, IN",West Hendricks Cty,Old Dominion Freight Line,,West Hendricks Cty,Brownsburg,IN,46112-2425,Hendricks,,,,N,2015-06-26 00:00:00,4500000.0,100.0,2004.0,,25800.0,,Single,04/19/2016,18097C0105F,18063C,0105F,No,100-year and 500-year Floodplain,39.840906,-86.371602,Old Dominion Freight Line,National,black
370,255 W Oakton St,Old Dominion Freight Line,Industrial,2.0,,,C,Existing,98340.0,,$7.46 - 9.12 (Est.),Truck Terminal,"Chicago, IL",O'Hare,,,O'Hare,Des Plaines,IL,60018-1835,Cook,,,,N,1998-03-09 00:00:00,4100000.0,100.0,1968.0,,98340.0,1.0,Single,08/19/2008,17031C0218J,17031C,0218J,No,100-year and 500-year Floodplain,42.0217806,-87.9267597,Old Dominion Freight Line,National,black
371,8055 Old Granger Rd,,Industrial,2.0,,,C,Existing,45966.0,,$5.12 - 6.26 (Est.),Truck Terminal,"Cleveland, OH",Brooklyn Hts,,,South,Garfield Heights,OH,44125-4852,Cuyahoga,,,,N,2008-03-31 00:00:00,1500000.0,100.0,1963.0,,45966.0,,Single,12/03/2010,39035C0192E,39035C,0192E,Yes,100-year Floodplain,41.4175813,-81.6304233,Old Dominion Freight Line,National,black
